;estado;sigla;regiao;cidade;populacao;pib;pib_percapita
1715;PARAIBA;PB;NORDESTE;Serra Grande;3147;12504.2421875;3973.37988281
1716;PARAIBA;PB;NORDESTE;Riacho de Santo Antonio;1588;9611.00976562;6052.27001953
1717;PARAIBA;PB;NORDESTE;Sao Jose da Lagoa Tapada;8067;29955.484375;3713.34008789
1718;PARAIBA;PB;NORDESTE;Cruz do Espirito Santo;15854;71412.4453125;4504.37988281
1719;PARAIBA;PB;NORDESTE;Serido;10091;32620.47851562;3232.62988281
1720;PARAIBA;PB;NORDESTE;Esperanca;30855;221022.5625;7163.27001953
1721;PARAIBA;PB;NORDESTE;Poco de Jose de Moura;4118;17580.734375;4269.24023438
1722;PARAIBA;PB;NORDESTE;Uirauna;14963;65173.609375;4355.64990234
1723;PARAIBA;PB;NORDESTE;Matureia;6029;24164.58789062;4008.06005859
1724;PARAIBA;PB;NORDESTE;Piloezinhos;5470;21413.59960938;3914.72998047
1725;PARAIBA;PB;NORDESTE;Alhandra;18941;233951.8125;12351.61035156
1726;PARAIBA;PB;NORDESTE;Santo Andre;2707;11492.10351562;4245.33007812
1727;PARAIBA;PB;NORDESTE;Tenorio;2921;12547.22851562;4295.52978516
1728;PARAIBA;PB;NORDESTE;Araruna;20009;78491.8515625;3922.83007812
1729;PARAIBA;PB;NORDESTE;Salgadinho;3518;12675.48339844;3603.04003906
1730;PARAIBA;PB;NORDESTE;Lastro;2894;12315.78808594;4255.62988281
1731;PARAIBA;PB;NORDESTE;Inga;18784;74695.015625;3976.52001953
1732;PARAIBA;PB;NORDESTE;Sao Francisco;3544;14183.72070312;4002.17993164
1733;PARAIBA;PB;NORDESTE;Picui;19359;78050.453125;4031.73999023
1734;PARAIBA;PB;NORDESTE;Rio Tinto;23788;135686.15625;5703.97021484
1735;PARAIBA;PB;NORDESTE;Bom Jesus;2305;9674.91992188;4197.35986328
1736;PARAIBA;PB;NORDESTE;Malta;5800;22847.53320312;3939.22998047
1737;PARAIBA;PB;NORDESTE;Caicara;7535;30622.7109375;4064.06005859
1738;PARAIBA;PB;NORDESTE;Brejo dos Santos;5899;23582.4609375;3997.69995117
1739;PARAIBA;PB;NORDESTE;Montadas;4750;19880.31054688;4185.33007812
1740;PARAIBA;PB;NORDESTE;Santana dos Garrotes;7817;29104.87109375;3723.2800293
1741;PARAIBA;PB;NORDESTE;Sape;47682;242950.71875;5095.22998047
1742;PARAIBA;PB;NORDESTE;Juripiranga;10605;49805.71875;4696.43994141
1743;PARAIBA;PB;NORDESTE;Arara;12804;44775.48046875;3496.98999023
1744;PARAIBA;PB;NORDESTE;Princesa Isabel;20017;84892.03125;4241.0
1745;PARAIBA;PB;NORDESTE;Nova Palmeira;4087;18423.50976562;4507.83007812
1746;PARAIBA;PB;NORDESTE;Sossego;3089;12804.03125;4145.04003906
1747;PARAIBA;PB;NORDESTE;Sao Sebastiao de Lagoa de Roca;11320;41455.34375;3662.12988281
1748;PARAIBA;PB;NORDESTE;Olivedos;3622;16201.1015625;4472.97021484
1749;PARAIBA;PB;NORDESTE;Quixaba;1488;8294.52832031;5574.27978516
1750;PARAIBA;PB;NORDESTE;Livramento;7330;28879.02539062;3939.84008789
1751;PARAIBA;PB;NORDESTE;Marcacao;7606;33224.39453125;4368.18017578
1752;PARAIBA;PB;NORDESTE;Condado;6925;32832.8359375;4741.20019531
1753;PARAIBA;PB;NORDESTE;Mae d'Agua;4127;16183.31152344;3921.33007812
1754;PARAIBA;PB;NORDESTE;Poco Dantas;4046;14053.37597656;3473.39990234
1755;PARAIBA;PB;NORDESTE;Barauna;4045;16776.06835938;4147.35986328
1756;PARAIBA;PB;NORDESTE;Lagoa Seca;25766;116892.609375;4536.70019531
1757;PARAIBA;PB;NORDESTE;Caldas Brandao;5544;25826.90234375;4658.52978516
1758;PARAIBA;PB;NORDESTE;Damiao;4998;18189.4609375;3639.35009766
1759;PARAIBA;PB;NORDESTE;Massaranduba;12946;52693.06640625;4070.2199707
1760;PARAIBA;PB;NORDESTE;Paulista;12004;52906.15625;4407.37988281
1761;PARAIBA;PB;NORDESTE;Sao Jose de Caiana;6141;22382.828125;3644.82006836
1762;PARAIBA;PB;NORDESTE;Cuitegi;7243;26236.60351562;3622.34008789
1763;PARAIBA;PB;NORDESTE;Itabaiana;25463;118204.2109375;4642.18994141
1764;PARAIBA;PB;NORDESTE;Catole do Rocha;28468;146767.578125;5155.52978516
1765;PARAIBA;PB;NORDESTE;Solanea;27951;108521.9921875;3882.58007812
1766;PARAIBA;PB;NORDESTE;Santa Helena;6198;24999.93164062;4033.55004883
1767;PARAIBA;PB;NORDESTE;Caapora;20064;286072.875;14258.01953125
1768;PARAIBA;PB;NORDESTE;Aracagi;17839;100224.0078125;5618.25
1769;PARAIBA;PB;NORDESTE;Cajazeirinhas;3168;14881.45996094;4697.43017578
1770;PARAIBA;PB;NORDESTE;Sao Jose dos Ramos;5702;23567.55078125;4133.20996094
1771;PARAIBA;PB;NORDESTE;Campina Grande;383764;3894133.5;10147.20996094
